epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,569.04,0.4878,0.38008,0.27561,0.00475,0.22305,0.9546,0.97895,0.9822,0.95136,0.9546,0.97895,0.9822,0.89452,0.3338,0.2599,0.19185,0.00423,0,0.000553296,0.000553296,0.000553296
87,575.428,0.50225,0.33843,0.29969,0.00466,0.26882,0.95683,0.97401,0.98361,0.94407,0.95683,0.97401,0.98361,0.89652,0.35852,0.26718,0.20425,0.00508,0,0.000550758,0.000550758,0.000550758
88,581.924,0.48365,0.29301,0.24737,0.0052,0.15889,0.97327,0.95679,0.98514,0.9437,0.97327,0.95679,0.98514,0.86449,0.35133,0.27711,0.21966,0.00558,0,0.00054822,0.00054822,0.00054822
89,588.463,0.45633,0.36426,0.28145,0.00415,0.22444,0.97293,0.97453,0.9884,0.9471,0.97293,0.97453,0.9884,0.8487,0.31999,0.26763,0.18155,0.00493,0,0.000545682,0.000545682,0.000545682
90,595.026,0.50191,0.3308,0.28502,0.00503,0.23252,0.96199,0.97382,0.99275,0.95893,0.96199,0.97382,0.99275,0.89231,0.31103,0.25245,0.17427,0.00439,0,0.000543145,0.000543145,0.000543145
91,601.536,0.47323,0.28016,0.25332,0.00434,0.19952,0.94596,0.98326,0.99384,0.96017,0.94596,0.98326,0.99384,0.86912,0.31107,0.24234,0.15551,0.0044,0,0.000540607,0.000540607,0.000540607
92,607.947,0.45756,0.34957,0.28611,0.00451,0.17315,0.96128,0.98337,0.99342,0.95811,0.96128,0.98337,0.99342,0.85555,0.31619,0.24039,0.1409,0.00442,0,0.000538069,0.000538069,0.000538069
93,614.315,0.42749,0.28594,0.27133,0.00423,0.24017,0.95783,0.98765,0.99278,0.96345,0.95783,0.98765,0.99278,0.86518,0.29699,0.24743,0.13201,0.00436,0,0.000535532,0.000535532,0.000535532
94,620.611,0.44219,0.25394,0.26377,0.00394,0.19719,0.94488,0.9868,0.98986,0.96963,0.94488,0.9868,0.98986,0.86436,0.26252,0.23276,0.15861,0.0038,0,0.000532994,0.000532994,0.000532994
95,626.892,0.45171,0.32148,0.26183,0.00403,0.20956,0.93876,0.98305,0.98741,0.96176,0.93876,0.98305,0.98741,0.86696,0.26478,0.23194,0.13929,0.00379,0,0.000530456,0.000530456,0.000530456
96,633.223,0.4696,0.31746,0.25471,0.00467,0.22419,0.95943,0.95463,0.98646,0.96416,0.95943,0.95463,0.98646,0.87302,0.2652,0.23346,0.14603,0.0039,0,0.000527919,0.000527919,0.000527919
97,639.581,0.41713,0.30489,0.26185,0.00463,0.19426,0.9672,0.95829,0.98485,0.96185,0.9672,0.95829,0.98485,0.87566,0.27938,0.23694,0.16309,0.00398,0,0.000525381,0.000525381,0.000525381
98,645.944,0.43671,0.27481,0.23798,0.0043,0.21072,0.96743,0.97062,0.99174,0.96025,0.96743,0.97062,0.99174,0.87228,0.3049,0.25186,0.16004,0.00446,0,0.000522843,0.000522843,0.000522843
99,652.443,0.43606,0.3471,0.25135,0.00389,0.20087,0.96295,0.96889,0.98909,0.95555,0.96295,0.96889,0.98909,0.86921,0.31957,0.25541,0.17446,0.00438,0,0.000520305,0.000520305,0.000520305
100,658.862,0.4382,0.33328,0.25871,0.0043,0.18916,0.96219,0.95815,0.98485,0.95617,0.96219,0.95815,0.98485,0.87475,0.29274,0.24635,0.17761,0.00415,0,0.000517768,0.000517768,0.000517768
101,665.494,0.42274,0.27546,0.24452,0.00386,0.18758,0.97297,0.94741,0.98223,0.9543,0.97297,0.94741,0.98223,0.86623,0.31853,0.23276,0.18453,0.00494,0,0.00051523,0.00051523,0.00051523
102,672.007,0.44276,0.32884,0.26046,0.00452,0.20085,0.95414,0.95963,0.98331,0.95785,0.95414,0.95963,0.98331,0.87746,0.29478,0.25022,0.20366,0.00466,0,0.000512692,0.000512692,0.000512692
103,678.544,0.41356,0.33668,0.21957,0.00373,0.17296,0.95943,0.95499,0.98114,0.9528,0.95943,0.95499,0.98114,0.87685,0.28787,0.25381,0.1987,0.00482,0,0.000510155,0.000510155,0.000510155
104,685.114,0.39811,0.28159,0.21871,0.00374,0.14129,0.93489,0.96232,0.98215,0.95703,0.93489,0.96232,0.98215,0.86527,0.27983,0.25689,0.21425,0.00442,0,0.000507617,0.000507617,0.000507617
105,691.688,0.38795,0.25314,0.23971,0.00337,0.18966,0.95927,0.94834,0.97991,0.95192,0.95927,0.94834,0.97991,0.85958,0.28053,0.2717,0.2122,0.00421,0,0.000505079,0.000505079,0.000505079
106,698.261,0.41552,0.28231,0.23398,0.00367,0.20018,0.96712,0.95019,0.97717,0.95415,0.96712,0.95019,0.97717,0.876,0.27455,0.28682,0.19821,0.00398,0,0.000502541,0.000502541,0.000502541
107,704.706,0.39749,0.33349,0.23754,0.00372,0.15142,0.97183,0.9679,0.98203,0.96502,0.97183,0.9679,0.98203,0.8602,0.25494,0.28727,0.18257,0.00351,0,0.000500004,0.000500004,0.000500004
108,711.082,0.4577,0.40266,0.25469,0.00444,0.19288,0.97525,0.96189,0.98261,0.95774,0.97525,0.96189,0.98261,0.8569,0.2867,0.27508,0.19972,0.0039,0,0.000497466,0.000497466,0.000497466
109,717.606,0.47185,0.38642,0.27415,0.00407,0.21067,0.96561,0.95631,0.9822,0.94733,0.96561,0.95631,0.9822,0.8664,0.33522,0.2618,0.21917,0.00478,0,0.000494928,0.000494928,0.000494928
110,724.186,0.40279,0.3484,0.32711,0.00379,0.28376,0.97617,0.954,0.98112,0.96559,0.97617,0.954,0.98112,0.86365,0.24512,0.23666,0.17844,0.00344,0,0.000492391,0.000492391,0.000492391
111,730.647,0.42004,0.30729,0.23143,0.00379,0.16873,0.96721,0.97262,0.98412,0.96492,0.96721,0.97262,0.98412,0.86522,0.27268,0.23536,0.16414,0.00407,0,0.000489853,0.000489853,0.000489853
112,737.351,0.41056,0.29191,0.24453,0.00379,0.16393,0.98826,0.95566,0.98369,0.95912,0.98826,0.95566,0.98369,0.87687,0.26209,0.23907,0.16654,0.00383,0,0.000487315,0.000487315,0.000487315
113,744.135,0.42567,0.29336,0.24108,0.00355,0.2312,0.98128,0.9589,0.98386,0.96022,0.98128,0.9589,0.98386,0.87145,0.26369,0.24553,0.17428,0.00391,0,0.000484778,0.000484778,0.000484778
114,750.581,0.40003,0.25038,0.22177,0.00355,0.16788,0.97957,0.96851,0.98227,0.96296,0.97957,0.96851,0.98227,0.86551,0.2229,0.23467,0.13813,0.00346,0,0.00048224,0.00048224,0.00048224
115,756.878,0.42419,0.35837,0.25705,0.00442,0.16374,0.97233,0.97065,0.9792,0.95384,0.97233,0.97065,0.9792,0.88371,0.30962,0.22616,0.16986,0.00431,0,0.000479702,0.000479702,0.000479702
116,763.254,0.41468,0.25921,0.23926,0.00377,0.1538,0.97366,0.96925,0.98144,0.94248,0.97366,0.96925,0.98144,0.88673,0.35288,0.21768,0.1816,0.00463,0,0.000477165,0.000477165,0.000477165
